Title,Company,Location,Postdate,ExtractDate,Summary,Salary,JobURL
Supervisor de Información y Bases de Datos,PlayCity Casino,"Tlalpan, CDMX",hace 2 días,2021-01-24,Únete al mejor equipo de trabajo y vive la “Experiencia Play”. Tendrás oportunidad de desarrollar una carrera en el mejor casino de México.,"$25,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARZ6FD_sGVUlGBzehOYNtGzUDZUjJmHvpVAt3NcHx3Z0EojSYCsOFVAwe3aTTQoWJc8CD-5SHmwlwCtentlPReJZ5MuTD6pTrjVoHKmcKpajIFQLAns2QxZd8ZiArbqimiHjBX5x-LbMtbL3icxo6ASeptTPkVSjTOz33KAo_xiBwkduZpc0KEKpyfuqDIKOEU966v7o5FpybaLX7yc8zAlq4dMyaERF0PJHiPjgdNm8pj2gH2L86YzWhpCmiN5r0de7BCdRnrT3-RmZ_4lo3Ff-XHiDpelXlJ5CIhdrY0RdtJdKz-OsD0C_CQDda--GzxVjn-B8aE7Cr4032oSobpZYzPdDGn9XFTIgnlrIRdoKfXAPGSazU4NzI5cafArzY8gtJ92xZpanS-z2xiBs15h_57Spmrbxb8x1nSHKnB5oiSENqR2F4QK4mhNkHpjBXyvZwMP__-dtpVC45Wwh74RE3KPxZxgR20g9lzki916bQZGFjDahfubQfvpEDvCR6Lu8sm10mXuQ==&p=17&fvj=1&vjs=3
Ingeniero de Procesos,Eaton,"Iztapalapa, CDMX",hace 8 días,2021-01-24,En nuestra división Crouse-Hinds estamos buscando un Ingeniero de Procesos. Esta posición tiene como base nuestra (planta-oficina) ubicada en CdMx.,,https://mx.indeed.com/rc/clk?jk=22e86611a3b06063&fccid=87f38351bd29de24&vjs=3
Operador centro de maquinado CNC,ccm mecanizados sa cv,"Colonia Vallejo, CDMX",Hace más de 30 días,2021-01-24,"Interpretación de planos, montajes de diversas piezas No en serie, afilado de herramientas y programación básica a pie de máquina.","$9,000 al mes",https://mx.indeed.com/company/ccm-mecanizados-sa-cv/jobs/Operador-centro-maquinado-CNC-ad1a291ea7fda02e?fccid=9a63f196942d113d&vjs=3
Programador Web,Staff Selection S.A. de C.V.,"Coyoacán, CDMX",hace 12 días,2021-01-24,"Programacion web: 3 años (Requisito mínimo). Programación Estructurada, administración de sitios Web, programación y publicación de contenido dinámico e…","$14,000 - $20,000 al mes",https://mx.indeed.com/company/Staff-Selection/jobs/Programador-web-552f15139cf8a085?fccid=8cd90dcda7469730&vjs=3
Consultor Business intelligence,Involve,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,Dominio de (al menos) un lenguaje de programación para realizar pruebas de concepto. Ingeniería informática; licenciatura en sistemas o computación; técnico…,"$20,000 - $25,000 al mes",https://mx.indeed.com/rc/clk?jk=2b3d45cb03ab35e2&fccid=942c4ec626ccb63b&vjs=3
PROGRAMADOR PYTHON,Softtek,Ciudad de México,Hace más de 30 días,2021-01-24,"SOFFTEK, la empresa líder en su ramo para LA y América del Norte con más de 35 años de trayectoria exitosa BUSCA, el siguiente perfil:",,https://mx.indeed.com/rc/clk?jk=2d3cf19962ce66ac&fccid=8c62709e0b55239b&vjs=3
Desarrollador Web,GREAT TEAM,Ciudad de México,Hace más de 30 días,2021-01-24,GREAT TEAM Te invita a formar parte de nuestro equipo de profesionales en [DESARROLLO WEB] y es por eso que te invitamos a actualizar tus datos y así contar con…,"$35,000 - $40,000 al mes",https://mx.indeed.com/rc/clk?jk=94a20c5a7035b654&fccid=01e5125e19f77bd6&vjs=3
DBA SQL SERVER SR,Jael Paredes,Ciudad de México,Hace más de 30 días,2021-01-24,"ZONA DE TRABAJO: Home Office. Escolaridad: Ing. en sistemas computacionales, Informática o afín. Edad: 25 a 35 años. Conocimientos mínimos de 3 años en:","$43,000 al mes",https://mx.indeed.com/rc/clk?jk=290ecebc579aa90d&fccid=9fc3579c44ec675f&vjs=3
Digital Media Trafficker,UIC Universidad Intercontinental,"Tlalpan, CDMX",Hace más de 30 días,2021-01-24,"Uso de programas de diseño y programación en HTML, PHP, CSS, Javascript. Prestigiada universidad al sur de la ciudad solicita personal para la posición de…","$22,000 al mes",https://mx.indeed.com/rc/clk?jk=6a8be67d27da3e68&fccid=832e75a6772b418b&vjs=3
PROGRAMADOR WEB,Resuelve Tu Deuda,Ciudad de México,Hace más de 30 días,2021-01-24,"Somos la empresa líder en ofrecer tecnología aplicada a servicios financieros (Fin-Tech). Con un portafolio diverso de marcas, nos hemos posicionado en el…",,https://mx.indeed.com/rc/clk?jk=c8940f0f5600b07d&fccid=591c6eeee0831be2&vjs=3
Urgentee!!! Documentador - Azcapotzalco,Blanca Capulin,Ciudad de México,Hace más de 30 días,2021-01-24,Programación Orientada a Objetos (Preferentemente con programación Java). Escolaridad: Recién egresados de Ing. En Informática o a fin.,,https://mx.indeed.com/rc/clk?jk=7930aaeaed3ebee8&fccid=652692bc67a0e0da&vjs=3
Ingeniero en Monitoreo Mainframe,Jael Paredes,Ciudad de México,Hace más de 30 días,2021-01-24,"Somos una empresa de Recursos Humanos con especialización en TI dedicada a proveer personal capacitado en tecnologías Php, Java y DotNet para proyectos…","$19,000 al mes",https://mx.indeed.com/rc/clk?jk=05bccc98417a2bf5&fccid=9fc3579c44ec675f&vjs=3
Programador Jr,"Servicios Profesionales Empresariales, SA de CV","Coyoacán, CDMX",hace 16 días,2021-01-24,"Empresa dedicada a turismo de reuniones. Enfocados 100% a congresos, convenciones y exposiciones. Estudios mínimos de Ingeniería y/o Licenciatura en Sistemas /…","$23,000 al mes","https://mx.indeed.com/company/Servicios-Profesionales-Empresariales,-SA-de-CV/jobs/Programador-junior-47b0e7d0ff2ac587?fccid=f7a0e4dc2b703d83&vjs=3"
"OPERADOR CNC, TECNICO EN MAQUINAS Y HERRAMIENTAS",DYCOMET SA DE CV,"Azcapotzalco, CDMX",hace 3 días,2021-01-24,"Manejo de instrumentos de medición y unidades (métrico, ingles). Manejo de control - fanuc - heidenhain -. Sueldo a tratar según conocimiento y habilidades.",,https://mx.indeed.com/company/DYCOMET-SA-DE-CV/jobs/Operador-CNC-93ff0a4001670d77?fccid=8f516ba955b8b584&vjs=3
Business Intelligence Developer,KAVAK Careers,Ciudad de México,Hace más de 30 días,2021-01-24,Fuerte experiencia en programación de ETL con Python. KAVAK es el e-commerce N°1 para la compra y venta de vehículos con mayor crecimiento en América Latina.,,https://mx.indeed.com/rc/clk?jk=b51881ada9a84c80&fccid=5fb7d934735a817d&vjs=3
Data Engineer Sr,TIGER TEAM,"Benito Juárez, CDMX",hace 4 días,2021-01-24,"Lógica de programación alta y armado de soluciones de software. Importante empresa de tecnología se encuentra en búsqueda de Data Engineer Sr, el *trabajo es…","$65,000 al mes",https://mx.indeed.com/company/Tiger-Team/jobs/Data-engineer-senior-a1be0deb198aa960?fccid=05f341035bcdefb5&vjs=3
Diseñador Web,Consultoría Valenzuela,"Colonia Polanco, CDMX",hace 5 días,2021-01-24,"Informática, Desarrollo web, SEO, Diseño y programación. Uso de lenguajes de programación para crear páginas web basadas en UX/UI. Edad: 25 a 45 años.","$11,000 al mes",https://mx.indeed.com/company/CONSULTORIA-VALENZUELA-s.-c./jobs/Dise%C3%B1ador-web-aace5fe994dd1a42?fccid=b983a07340e90de0&vjs=3
Desarrollador Backend,GFT Technologies,"Colonia Santa Fe, CDMX",hace 3 días,2021-01-24,"Población: Santa Fe, Zedec Sta Fé, Álvaro. GFT es una compañía tecnológica en la que confían instituciones financieras líderes a nivel internacional para…",,https://mx.indeed.com/rc/clk?jk=c573dfa73c987f4f&fccid=8ab7cdd8a4b10bfc&vjs=3
PYTHON DEVELOPER,Vass,Ciudad de México,hace 2 días,2021-01-24,"Ven a formar parte de nuestro equipo en VASS. Programación orientada a objetos, python, conocimiento de frameworks como Django, Flask. 21 de enero de 2021.",,https://mx.indeed.com/rc/clk?jk=9740946a548559e1&fccid=7f25d1d1d564f968&vjs=3
Asesor comercial de ventas,GRUPO ALPHA SIMET SA DE CV,"Cuauhtémoc, CDMX",hace 4 días,2021-01-24,Empresa con más de 46 años Líder en el Mercado Latinoamericano en venta de Equipos para la Industria Alimenticia busca por crecimiento ASESOR COMERCIAL que…,"$6,000 al mes",https://mx.indeed.com/company/GRUPO-ALPHA/jobs/Asesor-comercial-ventas-03de3a053f3a8ea7?fccid=b2028d0558e137d4&vjs=3
Desarrolllador Android - Kotlin,CITI,"Cuauhtémoc, CDMX",hace 11 días,2021-01-24,"Somos una sólida empresa certificada en Great Place to Work, desarrollamos e integramos tecnología a nivel global y tenemos más de 25 años en el mercado.","$20,000 - $26,000 al mes",https://mx.indeed.com/company/CITI-Value-in-Real-Time/jobs/Desarrolllador-android-601ee3d949866707?fccid=5ae1bef010a7ac0a&vjs=3
DESARROLLADOR FRONT END,ARKON DATA,"Álvaro Obregón, CDMX",hace 12 días,2021-01-24,° Conocimiento de programación enfocado en GraphQL. ° Habilidades de investigación en el desarrollo de trabajos relacionados con la capacidad de programación y…,,https://mx.indeed.com/company/Arcon-Data/jobs/Desarrollador-front-end-f6b4b1f8717477cb?fccid=2557ac561d1d5a6b&vjs=3
CONSULTOR SR. DE PREVENTA PARA GOBIERNO,PSB Technology S.A. DE C.V.,"Cuajimalpa, CDMX",hace 12 días,2021-01-24,"Habilidades técnicas de programación, preventa y soluciones en el ámbito Gubernamental (INDISPENSABLE). Importante empresa del giro de soluciones de impresión…","$45,000 - $50,000 al mes",https://mx.indeed.com/company/PSB-TECHNOLOGY-S.A.-DE-C.V./jobs/Consultor-senior-preventa-gobierno-a739ef806f91e8ac?fccid=b606e035f9b2cb2c&vjs=3
Tester QA Bilingüe Automatización,Training Talent,"Benito Juárez, CDMX",hace 8 días,2021-01-24,"Conocimiento y experiencia con algún lenguaje de programación a nivel técnico como Javascript, java, C++ o Python. Zona de trabajo: Home office.","$45,000 - $50,000 al mes",https://mx.indeed.com/company/Training-Talent/jobs/Tester-QA-biling%C3%BCe-automatizaci%C3%B3n-1f1240f70e18f13f?fccid=b24d69c571894523&vjs=3
Programador Jr.,CGS,"Benito Juárez, CDMX",hace 3 días,2021-01-24,"Conocimiento en lenguajes de programación: Java, PHP, . Importante empresa de tecnología solicita. Análisis de las necesidades de negocio de los clientes y…","$12,000 - $16,000 al mes",https://mx.indeed.com/company/AGH-Consultores/jobs/Programador-junior-bf8a3616b57dc7ce?fccid=220c59e4e47cc45f&vjs=3
PROGRAMADOR DE TRANSPORTE [VENTAS],CONTROL TERRESTRE,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,"EXPERIENCIA. TIEMPO, PUESTOS, ÁREA Y/O FUNCIONES*. EXPERIENCIA INDISPENSABLE EN PUESTOS OPERATIVOS, DE PREFERENCIA EN RAMO DE TRANSPORTE DE CARGA.","$12,000 al mes",https://mx.indeed.com/company/CONTROL-TERRESTRE/jobs/Programador-transporte-01ebc3147ff66ee0?fccid=1711b09e11e2948a&vjs=3
Implementador de Sistemas Bilingüe,Choice Talent,"Álvaro Obregón, CDMX",hace 10 días,2021-01-24,Empresa dedicada a la facturación electrónica te invita a que formes parte de su equipo como: Edad: 25 años en adelante. Dar soporte funcional de primer nivel.,"$25,000 - $30,000 al mes",https://mx.indeed.com/company/Choice-Talent/jobs/Implementador-sistemas-biling%C3%BCe-dd56fbaa425cbbfd?fccid=cbe919ef7c38c993&vjs=3
NodeJS Developer SemiSr,TS4 Strategy,"Miguel Hidalgo, CDMX",hace 1 día,2021-01-24,"Certificación en algún lenguaje de programación (Java versión X.X). Conocimiento en lenguaje de programación (Java, Javascript, C++, C#, Ruby, NodeJS, PHP).","$17,000 - $25,000 al mes",https://mx.indeed.com/company/TS4-Strategy/jobs/Nodejs-developer-semisr-75af2bff4dea9281?fccid=21b404ab36d05b7e&vjs=3
